company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Performance Food Group,168,8.0,19743.5,166.8,18000,Wholesalers,Richmond,VA,no,no,no,yes,176.0,George L. Holm,https://www.pfgc.com,PFGC,2896.7
Avnet,169,-4.0,19518.6,176.3,15500,Wholesalers,Phoenix,AZ,no,no,no,yes,165.0,Philip R. Gallagher,https://www.avnet.com,AVT,2505.9
Synchrony Financial,170,3.0,19461.0,3747.0,16500,Financials,Stamford,CT,no,no,yes,yes,173.0,Margaret M. Keane,https://www.synchronyfinancial.com,SYF,9870.8
Genuine Parts,171,-2.0,19392.3,621.1,55000,Wholesalers,Atlanta,GA,no,no,no,yes,169.0,Paul D. Donahue,https://www.genpt.com,GPC,14431
NextEra Energy,172,12.0,19204.0,3769.0,14800,Energy,Juno Beach,FL,no,no,no,yes,184.0,James L. Robo,https://www.nexteraenergy.com,NEE,164661
CarMax,173,1.0,19146.0,842.4,25946,Retailing,Richmond,VA,no,no,no,yes,174.0,William D. Nash,https://www.carmax.com,KMX,8795
Tenet Healthcare,174,-2.0,18479.0,-232.0,101104,Health Care,Dallas,TX,no,no,no,no,172.0,Ronald A. Rittenmeyer,https://www.tenethealth.com,THC,1501.8
Kimberly-Clark,175,-4.0,18450.0,2157.0,40000,Household Products,Irving,TX,no,no,no,yes,171.0,Michael D. Hsu,https://www.kimberly-clark.com,KMB,44691
Emerson Electric,176,2.0,18372.0,2306.0,88000,Industrials,St. Louis,MO,no,no,no,yes,178.0,Lal L. Karsanbhai,https://www.emerson.com,EMR,50469
WestRock,177,13.0,18289.0,862.9,51100,Materials,Atlanta,GA,no,no,no,yes,190.0,David B. Sewell,https://www.westrock.com,WRK,11971
CDW,178,13.0,18032.4,736.8,9900,Technology,Lincolnshire,IL,no,no,yes,yes,191.0,Christine A. Leahy,https://www.cdw.com,CDW,13316.3
Jones Lang LaSalle (JLL),179,10.0,17983.2,535.3,93400,Financials,Chicago,IL,no,no,no,yes,189.0,Christian Ulbrich,https://www.us.jll.com,JLL,7907
Sherwin-Williams,180,-3.0,17900.8,1541.3,61111,Chemicals,Cleveland,OH,no,no,no,yes,177.0,John G. Morikis,https://www.sherwin-williams.com,SHW,42185.8
Fluor,181,-17.0,17817.2,-1305.0,53349,Engineering & Construction,Irving,TX,no,no,no,no,164.0,David E. Constable,https://www.fluor.com,FLR,968.6
PayPal Holdings,182,22.0,17772.0,2459.0,23200,Business Services,San Jose,CA,no,no,no,yes,204.0,Daniel H. Schulman,https://www.paypal.com,PYPL,286198
D.R. Horton,183,11.0,17592.9,1618.5,8916,Engineering & Construction,Arlington,TX,no,no,no,yes,194.0,David V. Auld,https://www.drhorton.com,DHI,27388
HollyFrontier,184,-9.0,17486.6,772.4,4074,Energy,Dallas,TX,no,no,no,yes,175.0,Michael C. Jennings,https://www.hollyfrontier.com,HFC,3967.8
Tenneco,185,82.0,17450.0,-334.0,78000,Motor Vehicles & Parts,Lake Forest,IL,no,no,no,no,267.0,Brian J. Kesseler,https://www.tenneco.com,TEN,292.3
EOG Resources,186,-5.0,17380.0,2734.9,2900,Energy,Houston,TX,no,no,no,yes,181.0,William R. Thomas,https://www.eogresources.com,EOG,20907.4
BD,187,8.0,17290.0,1233.0,70093,Health Care,Franklin Lakes,NJ,no,no,no,yes,195.0,Thomas E. Polen,https://www.bd.com,BDX,65554
Lincoln National,188,-1.0,17258.0,886.0,11357,Financials,Radnor,PA,no,no,no,yes,187.0,Dennis R. Glass,https://www.lfg.com,LNC,5142.2
PG&E,189,-6.0,17129.0,-7656.0,23000,Energy,San Francisco,CA,no,no,yes,no,183.0,Patricia K. Poppe,https://www.pgecorp.com,PCG,4762.8
Salesforce,190,50.0,17098.0,126.0,49000,Technology,San Francisco,CA,no,yes,no,yes,240.0,Marc R. Benioff,https://www.salesforce.com,CRM,204547
Mastercard,191,19.0,16883.0,8118.0,18600,Business Services,Purchase,NY,no,no,no,yes,210.0,Michael Miebach,https://www.mastercard.com,MA,333881
General Mills,192,8.0,16865.2,1752.7,40000,"Food, Beverages & Tobacco",Minneapolis,MN,no,no,no,yes,200.0,Jeffrey L. Harmening,https://www.generalmills.com,GIS,33837
Molina Healthcare,193,-25.0,16829.0,737.0,10000,Health Care,Long Beach,CA,no,no,no,yes,168.0,Joseph M. Zubretsky,https://www.molinahealthcare.com,MOH,8500.8
Cognizant Technology Solutions,194,-1.0,16783.0,1842.0,292500,Technology,Teaneck,NJ,no,no,no,yes,193.0,Brian Humphries,https://www.cognizant.com,CTSH,25495.2
Marsh & McLennan,195,15.0,16652.0,1742.0,76000,Financials,New York,NY,no,no,no,yes,210.0,Daniel S. Glaser,https://www.mmc.com,MMC,43567
XPO Logistics,196,-16.0,16648.0,419.0,100000,Transportation,Greenwich,CT,no,no,no,yes,180.0,Bradley S. Jacobs,https://www.xpo.com,XPO,11447
Dominion Energy,197,41.0,16572.0,1358.0,19100,Energy,Richmond,VA,no,no,no,yes,238.0,Robert M. Blue,https://www.dominionenergy.com,D,58397
Western Digital,198,-46.0,16569.0,-754.0,61800,Technology,San Jose,CA,no,no,no,no,152.0,David V. Goeckeler,https://www.westerndigital.com,WDC,15766
Gap,199,-13.0,16383.0,351.0,129000,Retailing,San Francisco,CA,no,no,yes,yes,186.0,Sonia Syngal,https://www.gapinc.com,GPS,2614
Aramark,200,-2.0,16227.3,448.5,233400,Business Services,Philadelphia,PA,no,no,no,yes,198.0,John J. Zillmer,https://www.aramark.com,ARMK,9236
Principal Financial,201,18.0,16222.1,1394.2,17601,Financials,Des Moines,IA,no,no,no,yes,219.0,Daniel J. Houston,https://www.principal.com,PFG,14748
Ross Stores,202,7.0,16039.1,1660.9,92500,Retailing,Dublin,CA,no,no,yes,yes,209.0,Barbara Rentler,https://www.rossstores.com,ROST,30952.3
Colgate-Palmolive,203,-1.0,15693.0,2367.0,34300,Household Products,New York,NY,no,no,no,yes,202.0,Noel R. Wallace,https://www.colgatepalmolive.com,CL,68745
American Electric Power,204,-12.0,15561.4,1921.1,17408,Energy,Columbus,OH,no,no,no,yes,192.0,Nicholas K. Akins,https://www.aep.com,AEP,40084
Nordstrom,205,-9.0,15524.0,496.0,75000,Retailing,Seattle,WA,no,no,no,yes,196.0,Erik B. Nordstrom,https://shop.nordstrom.com,JWN,5658
Jacobs Engineering Group,206,2.0,15463.6,848.0,50000,Engineering & Construction,Dallas,TX,no,no,no,yes,208.0,Steven J. Demetriou,https://www.jacobs.com,J,14557
Waste Management,207,6.0,15455.0,1670.0,44900,Business Services,Houston,TX,no,no,no,yes,213.0,James C. Fish Jr.,https://www.wm.com,WM,48621
C.H. Robinson Worldwide,208,-23.0,15309.5,577.0,15427,Transportation,Eden Prairie,MN,no,no,no,yes,185.0,Robert C. Biesterfeld Jr.,https://www.chrobinson.com,CHRW,13432
PPG Industries,209,-4.0,15146.0,1243.0,47600,Chemicals,Pittsburgh,PA,no,no,no,yes,205.0,Michael H. McGarry,https://www.ppg.com,PPG,34144
Booking Holdings,210,6.0,15066.0,4865.0,26400,Technology,Norwalk,CT,no,no,no,yes,216.0,Glenn D. Fogel,https://www.bookingholdings.com,BKNG,88465
Omnicom Group,211,-5.0,14953.7,1339.1,70000,Business Services,New York,NY,no,no,no,yes,206.0,John D. Wren,https://www.omnicomgroup.com,OMC,11906
Loews,212,14.0,14931.0,932.0,18605,Financials,New York,NY,no,no,no,yes,226.0,James S. Tisch,https://www.loews.com,L,10023
Ecolab,213,2.0,14906.3,1558.9,50200,Chemicals,St. Paul,MN,no,no,no,yes,215.0,Christophe Beck,https://www.ecolab.com,ECL,62336
Stryker,214,19.0,14884.0,2083.0,40000,Health Care,Kalamazoo,MI,no,no,no,yes,233.0,Kevin A. Lobo,https://www.stryker.com,SYK,92148
Estée Lauder,215,16.0,14863.0,1785.0,48000,Household Products,New York,NY,no,no,no,yes,231.0,Fabrizio Freda,https://www.elcompanies.com,EL,92289
Goodyear Tire & Rubber,216,-13.0,14745.0,-311.0,63000,Motor Vehicles & Parts,Akron,OH,no,no,no,no,203.0,Richard J. Kramer,https://www.goodyear.com,GT,1354.2
Truist Financial,217,29.0,14664.0,3224.0,59000,Financials,Charlotte,NC,no,no,no,yes,246.0,Kelly S. King,https://www.truist.com,TFC,69604
Applied Materials,218,-36.0,14608.0,2706.0,22000,Technology,Santa Clara,CA,no,no,no,yes,182.0,Gary E. Dickerson,https://www.appliedmaterials.com,AMAT,98603
BlackRock,219,2.0,14539.0,4476.0,16200,Financials,New York,NY,no,no,no,yes,221.0,Laurence D. Fink,https://www.blackrock.com,BLK,113810
Stanley Black & Decker,220,8.0,14442.2,955.8,59438,Household Products,New Britain,CT,no,no,no,yes,228.0,James M. Loree,https://www.stanleyblackanddecker.com,SWK,28209
Freeport-McMoRan,221,-51.0,14402.0,-239.0,27500,Energy,Phoenix,AZ,no,no,no,no,170.0,Richard C. Adkerson,https://fcx.com,FCX,44996
Texas Instruments,222,-23.0,14383.0,5017.0,29768,Technology,Dallas,TX,no,no,no,yes,199.0,Richard K. Templeton,https://www.ti.com,TXN,159107
Biogen,223,12.0,14377.9,5888.5,7400,Health Care,Cambridge,MA,no,no,no,yes,235.0,Michel Vounatsos,https://www.biogen.com,BIIB,55070.4
Parker-Hannifin,224,-6.0,14320.3,1512.4,55610,Industrials,Cleveland,OH,no,no,no,yes,218.0,Thomas L. Williams,https://www.parker.com,PH,16652.5
Reinsurance Group of America,225,26.0,14300.0,870.0,3188,Financials,Chesterfield,MO,no,no,yes,yes,251.0,Anna Manning,https://www.rgare.com,RGA,5186
Howmet Aerospace,226,1.0,14192.0,470.0,41700,Aerospace & Defense,Pittsburgh,PA,no,no,no,yes,227.0,John C. Plant/Tolga Oal,https://www.howmet.com,HWM,7000.9
Automatic Data Processing,227,12.0,14175.2,2292.8,58000,Business Services,Roseland,NJ,no,no,no,yes,239.0,Carlos A. Rodriguez,https://www.adp.com,ADP,69618
Uber Technologies,228,0.0,14147.0,-8506.0,26900,Technology,San Francisco,CA,yes,no,no,no, ,Dara Khosrowshahi,https://www.uber.com,UBER,48226.1
Illinois Tool Works,229,-15.0,14109.0,2521.0,45000,Industrials,Glenview,IL,no,no,no,yes,214.0,E. Scott Santi,https://www.itw.com,ITW,64884
DaVita,230,-42.0,14101.5,811.0,65000,Health Care,Denver,CO,no,no,no,yes,188.0,Javier J. Rodriguez,https://www.davita.com,DVA,13476
Discover Financial Services,231,22.0,13989.0,2957.0,17200,Financials,Riverwoods,IL,no,no,no,yes,253.0,Roger C. Hochschild,https://www.discover.com,DFS,10923.5
Land O&#8217;Lakes,232,-20.0,13887.7,205.9,8000,"Food, Beverages & Tobacco",Arden Hills,MN,no,no,yes,yes,212.0,Beth E. Ford,https://www.landolakesinc.com,,
VF,233,19.0,13870.6,1259.8,75000,Apparel,Greenwood Village,CO,no,no,no,yes,252.0,Steven E. Rendle,https://www.vfc.com,VFC,32110
Corteva,234,0.0,13846.0,-959.0,21000,"Food, Beverages & Tobacco",Wilmington,DE,yes,no,no,no, ,James C. Collins Jr.,https://www.corteva.com,CTVA,22043
Las Vegas Sands,235,-5.0,13739.0,2698.0,50000,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,yes,no,yes,230.0,Sheldon G. Adelson,https://www.sands.com,LVS,41576
Textron,236,-7.0,13630.0,815.0,35000,Aerospace & Defense,Providence,RI,no,no,no,yes,229.0,Scott C. Donnelly,https://www.textron.com,TXT,6071.3
Kellogg,237,-3.0,13578.0,960.0,31000,"Food, Beverages & Tobacco",Battle Creek,MI,no,no,no,yes,234.0,Steven A. Cahillane,https://www.kelloggcompany.com,K,19812
Guardian Life Ins. Co. of America,238,6.0,13476.7,679.8,9032,Financials,New York,NY,no,no,no,yes,244.0,Andrew J. McMahon,https://www.guardianlife.com,,
Qurate Retail,239,-14.0,13458.0,-456.0,25314,Retailing,Englewood,CO,no,no,no,no,225.0,Michael A. George,https://www.qurateretail.com,QRTEA,2539.6
Core-Mark Holding,240,10.0,13329.2,57.7,8555,Wholesalers,Westlake,TX,no,no,no,yes,250.0,Scott E. McPherson,https://www.core-mark.com,CORE,1294.8
Community Health Systems,241,-18.0,13210.0,-675.0,71500,Health Care,Franklin,TN,no,no,no,no,223.0,Tim L. Hingtgen,https://www.chs.net,CYH,393.6
Kinder Morgan,242,-18.0,13209.0,2190.0,11086,Energy,Houston,TX,no,no,no,yes,224.0,Steven J. Kean,https://www.kindermorgan.com,KMI,31529.7
BJ's Wholesale Club,243,2.0,13190.7,187.2,27231,Retailing,Westborough,MA,no,no,no,yes,245.0,Lee Delaney,https://www.bjs.com,BJ,5720
State Street,244,3.0,13131.0,2242.0,39103,Financials,Boston,MA,no,no,no,yes,247.0,Ronald P. O&#039;Hanley,https://www.statestreet.com,STT,27066
Ameriprise Financial,245,4.0,13103.0,1893.0,12500,Financials,Minneapolis,MN,no,no,no,yes,249.0,James M. Cracchiolo,https://www.ameriprise.com,AMP,12601.8
Global Partners,246,8.0,13081.7,35.9,3860,Wholesalers,Waltham,MA,no,no,no,yes,254.0,Eric Slifka,https://www.globalp.com,GLP,299.8
United States Steel,247,-25.0,12937.0,-630.0,27500,Materials,Pittsburgh,PA,no,no,no,no,222.0,David B. Burritt,https://www.ussteel.com,X,1074.3
L Brands,248,-7.0,12914.2,-366.4,59950,Retailing,Columbus,OH,no,no,no,no,241.0,Andrew Menslow,https://www.lb.com,LB,3196.7
MGM Resorts International,249,17.0,12899.7,2049.1,72000,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,yes,266.0,William J. Hornbuckle IV,https://www.mgmresorts.com,MGM,15366
L3Harris Technologies,250,224.0,12856.0,1333.0,50000,Aerospace & Defense,Melbourne,FL,no,no,no,yes,474.0,William M. Brown,https://www.l3harris.com,LHX,48000
DISH Network,251,-19.0,12807.7,1399.5,16000,Telecommunications,Englewood,CO,no,no,no,yes,232.0,W. Erik Carlson,https://www.dish.com,DISH,10455.8
Lithia Motors,252,13.0,12672.7,271.5,14320,Retailing,Medford,OR,no,no,no,yes,265.0,Bryan B. DeBoer,https://www.lithiainvestorrelations.com,LAD,1910
DTE Energy,253,-33.0,12669.0,1169.0,10700,Energy,Detroit,MI,no,no,no,yes,220.0,Gerardo Norcia,https://www.dteenergy.com,DTE,18289.5
American Family Insurance Group,254,52.0,12633.2,455.9,13531,Financials,Madison,WI,no,no,no,yes,306.0,Jack C. Salzwedel,https://www.amfam.com,,
Farmers Insurance Exchange,255,15.0,12592.5,55.3,10980,Financials,Woodland Hills,CA,no,no,no,yes,270.0,Jeffrey J. Dailey,https://www.farmers.com,,
Consolidated Edison,256,3.0,12574.0,1343.0,14890,Energy,New York,NY,no,no,no,yes,259.0,Timothy Cawley,https://www.conedison.com,ED,26034.5
LKQ,257,5.0,12506.1,541.3,51000,Wholesalers,Chicago,IL,no,no,no,yes,262.0,Dominick P. Zarcone,https://www.lkqcorp.com,LKQ,6310.7
Sempra Energy,258,11.0,12443.0,2197.0,13969,Energy,San Diego,CA,no,no,no,yes,269.0,Jeffrey W. Martin,https://www.sempra.com,SRE,35542
Edison International,259,-4.0,12347.0,1284.0,12937,Energy,Rosemead,CA,no,no,no,yes,255.0,Pedro J. Pizarro,https://www.edisoninvestor.com,EIX,19867.6
CenterPoint Energy,260,39.0,12301.0,791.0,14262,Energy,Houston,TX,no,no,no,yes,299.0,David J. Lesar,https://www.centerpointenergy.com,CNP,7765.4
Quanta Services,261,22.0,12112.2,402.0,40300,Engineering & Construction,Houston,TX,no,no,no,yes,283.0,Earl C. Austin Jr.,https://www.quantaservices.com,PWR,11008
Murphy USA,262,-5.0,12101.3,154.8,7250,Retailing,El Dorado,AR,no,no,no,yes,257.0,R. Andrew Clyde,https://www.murphyusa.com,MUSA,3575
Expedia Group,263,17.0,12067.0,565.0,25400,Retailing,Seattle,WA,no,no,no,yes,280.0,Peter M. Kern,https://www.expediagroup.com,EXPE,7877.2
Group 1 Automotive,264,8.0,12043.8,174.0,15296,Retailing,Houston,TX,no,no,no,yes,272.0,Earl J. Hesterberg,https://www.group1auto.com,GPI,813.2
Bed Bath & Beyond,265,-7.0,12028.8,-137.2,62000,Retailing,Union,NJ,no,no,no,no,258.0,Mark J. Tritton,https://www.bedbathandbeyond.com,BBBY,534.5
Unum Group,266,7.0,11998.9,1100.3,10300,Financials,Chattanooga,TN,no,no,no,yes,273.0,Richard P. McKenney,https://www.unum.com,UNM,3046.6
CSX,267,-7.0,11937.0,3331.0,20908,Transportation,Jacksonville,FL,no,no,no,yes,260.0,James M. Foote,https://www.csx.com,CSX,44161.7
AutoZone,268,13.0,11863.7,1617.2,75840,Retailing,Memphis,TN,no,no,no,yes,281.0,William C. Rhodes III,https://www.autozone.com,AZO,19756.2
Pacific Life,269,29.0,11847.0,725.0,3815,Financials,Newport Beach,CA,no,no,no,yes,298.0,James T. Morris,https://www.pacificlife.com,,
Vistra Energy,270,67.0,11809.0,928.0,5475,Energy,Irving,TX,no,no,no,yes,337.0,Curtis A. Morgan,https://www.vistraenergy.com,VST,7795.3
Charles Schwab,271,18.0,11785.0,3704.0,19700,Financials,San Francisco,CA,no,no,no,yes,289.0,Walter W. Bettinger II,https://www.schwab.com,SCHW,109983
Crown Holdings,272,12.0,11665.0,510.0,33043,Materials,Yardley,PA,no,no,no,yes,284.0,Timothy J. Donahue,https://www.crowncork.com,CCK,7875.8
Ally Financial,273,30.0,11618.0,1715.0,8700,Financials,Detroit,MI,no,no,no,yes,303.0,Jeffrey J. Brown,https://www.ally.com,ALLY,5402.5
Laboratory Corp. of America (Labcorp),274,4.0,11554.8,823.8,65000,Health Care,Burlington,NC,no,no,no,yes,278.0,Adam H. Schechter,https://www.labcorp.com,LH,22394
Live Nation Entertainment,275,17.0,11548.0,69.9,18200,Media,Beverly Hills,CA,no,no,no,yes,292.0,Michael Rapino,https://www.livenationentertainment.com,LYV,16009
Xcel Energy,276,-2.0,11529.0,1372.0,11295,Energy,Minneapolis,MN,no,no,no,yes,274.0,Benjamin G.S. Fowke III,https://www.xcelenergy.com,XEL,34381
Corning,277,2.0,11503.0,960.0,49500,Industrials,Corning,NY,no,no,no,yes,279.0,Wendell P. Weeks,https://www.corning.com,GLW,15664.2
W.W. Grainger,278,4.0,11486.0,849.0,24550,Wholesalers,Lake Forest,IL,no,no,no,yes,282.0,D.G. Macpherson,https://www.grainger.com,GWW,21090
Ball,279,-8.0,11474.0,566.0,18300,Materials,Broomfield,CO,no,no,no,yes,271.0,John A. Hayes,https://www.ball.com,BLL,30180
Fox,280,0.0,11389.0,1595.0,7700,Media,New York,NY,yes,no,no,yes, ,Lachlan K. Murdoch,https://www.foxcorporation.com,FOXA,14142.9
Universal Health Services,281,12.0,11378.3,814.9,79050,Health Care,King of Prussia,PA,no,no,no,yes,293.0,Marc. D Miller,https://www.uhsinc.com,UHS,11193
Baxter International,282,4.0,11362.0,1001.0,50000,Health Care,Deerfield,IL,no,no,no,yes,286.0,,https://www.baxter.com,BAX,41180.1
Norfolk Southern,283,-6.0,11296.0,2722.0,24587,Transportation,Norfolk,VA,no,no,no,yes,277.0,James A. Squires,https://www.norfolksouthern.com,NSC,37537.3
Navistar International,284,24.0,11251.0,221.0,12300,Industrials,Lisle,IL,no,no,no,yes,308.0,Persio V. Lisboa,https://www.navistar.com,NAV,1640.6
Adobe,285,54.0,11171.3,2951.5,22634,Technology,San Jose,CA,no,no,no,yes,339.0,Shantanu Narayen,https://www.adobe.com,ADBE,224860
J.C. Penney,286,-25.0,11167.0,-268.0,90000,Retailing,Plano,TX,no,no,no,no,261.0,Stanley Shashoua,https://www.jcpenney.com,JCP,115.6
Discovery,287,13.0,11144.0,2069.0,9200,Media,Silver Spring,MD,no,no,no,yes,300.0,David M. Zaslav,https://www.corporate.discovery.com,DISCA,9503.1
Keurig Dr Pepper,288,121.0,11120.0,1254.0,25500,"Food, Beverages & Tobacco",Burlington,MA,no,no,no,yes,409.0,Robert J. Gamgort,https://www.keurigdrpepper.com,KDP,44962
Leidos Holdings,289,22.0,11094.0,667.0,34000,Technology,Reston,VA,no,no,no,yes,311.0,Roger A. Krone,https://www.leidos.com,LDOS,15605
IQVIA Holdings,290,15.0,11088.0,191.0,67000,Health Care,Durham,NC,no,no,no,yes,305.0,Ari Bousbib,https://www.iqvia.com,IQV,36532
Reliance Steel & Aluminum,291,-16.0,10973.8,701.5,15300,Materials,Los Angeles,CA,no,no,no,yes,275.0,James D. Hoffman,https://www.rsac.com,RS,8189
Nvidia,292,-24.0,10918.0,2796.0,13775,Technology,Santa Clara,CA,no,yes,no,yes,268.0,Jensen Huang,https://www.nvidia.com,NVDA,330936
Entergy,293,-5.0,10878.7,1241.2,13635,Energy,New Orleans,LA,no,no,no,yes,288.0,Leo P. Denault,https://www.entergy.com,ETR,18870.6
FirstEnergy,294,-31.0,10850.0,912.0,12316,Energy,Akron,OH,no,no,no,yes,263.0,Steven E. Strah,https://www.firstenergycorp.com,FE,21666.4
eBay,295,0.0,10800.0,1786.0,13300,Technology,San Jose,CA,no,no,no,yes,295.0,Jamie Iannone,https://www.ebay.com,EBAY,23930.2
Boston Scientific,296,23.0,10735.0,4700.0,36000,Health Care,Marlborough,MA,no,no,no,yes,319.0,Michael F. Mahoney,https://www.bostonscientific.com,BSX,52495
ODP,297,-12.0,10647.0,99.0,40000,Retailing,Boca Raton,FL,no,no,no,yes,285.0,Gerry P. Smith,https://www.officedepot.com,ODP,867.7
Molson Coors Beverage,298,-4.0,10579.4,241.7,17700,"Food, Beverages & Tobacco",Denver,CO,no,no,no,yes,294.0,Gavin D.K. Hattersley,https://www.molsoncoors.com,TAP,8441
Steel Dynamics,299,-35.0,10465.0,671.1,8385,Materials,Fort Wayne,IN,no,yes,no,yes,264.0,Mark D. Millett,https://www.steeldynamics.com,STLD,8453
Mutual of Omaha Insurance,300,36.0,10455.7,271.5,6072,Financials,Omaha,NE,no,no,no,yes,336.0,James T. Blackledge,https://www.mutualofomaha.com,,
Sonic Automotive,301,15.0,10454.3,144.1,9300,Retailing,Charlotte,NC,no,no,no,yes,316.0,David Bruton Smith,https://www.sonicautomotive.com,SAH,567.1
Alcoa,302,-66.0,10433.0,-1125.0,13800,Materials,Pittsburgh,PA,no,no,no,no,236.0,Roy C. Harvey,https://www.alcoa.com,AA,4247
Fidelity National Information Services,303,58.0,10333.0,298.0,55000,Business Services,Jacksonville,FL,no,no,no,yes,361.0,Gary A. Norcross,https://www.fisglobal.com,FIS,81343
Henry Schein,304,-62.0,10305.3,694.7,19000,Health Care,Melville,NY,no,no,no,yes,242.0,Stanley M. Bergman,https://www.henryschein.com,HSIC,10021
Republic Services,305,9.0,10299.4,1073.3,36000,Business Services,Phoenix,AZ,no,no,no,yes,314.0,Donald W. Slager,https://www.republicservices.com,RSG,30177
Liberty Media,306,74.0,10292.0,106.0,6753,Media,Englewood,CO,no,no,no,yes,380.0,Gregory B. Maffei,https://www.libertymedia.com,LSXMA,13877
Peter Kiewit Sons&#8217;,307,33.0,10283.0,419.0,23000,Engineering & Construction,Omaha,NE,no,no,no,yes,340.0,Rick Lanoha,https://www.kiewit.com,,
Interpublic Group,308,14.0,10221.3,656.0,54300,Business Services,New York,NY,no,no,no,yes,322.0,Philippe Krakowsky,https://www.interpublic.com,IPG,6278.9
PulteGroup,309,3.0,10213.0,1016.7,5245,Engineering & Construction,Atlanta,GA,no,no,no,yes,312.0,Ryan R. Marshall,https://www.pultegroup.com,PHM,12518
AES,310,-14.0,10189.0,303.0,8000,Energy,Arlington,VA,no,no,no,yes,296.0,,https://www.aes.com,AES,9040.8
Fiserv,311,177.0,10187.0,893.0,44000,Business Services,Brookfield,WI,no,no,no,yes,488.0,Frank J. Bisignano,https://www.fiserv.com,FISV,73172
BorgWarner,312,-11.0,10168.0,746.0,29000,Motor Vehicles & Parts,Auburn Hills,MI,no,no,no,yes,301.0,Frederic B. Lissalde,https://www.borgwarner.com,BWA,5037.4
Oneok,313,-57.0,10164.4,1278.6,2882,Energy,Tulsa,OK,no,no,no,yes,256.0,Terry K. Spencer,https://www.oneok.com,OKE,9014.5
O&#8217;Reilly Automotive,314,15.0,10150.0,1391.0,67663,Retailing,Springfield,MO,no,no,no,yes,329.0,Gregory D. Johnson,https://www.oreillyauto.com,ORLY,22353.4
Assurant,315,63.0,10086.8,382.6,13900,Financials,New York,NY,no,no,no,yes,378.0,Alan B. Colberg,https://www.assurant.com,AIZ,6217.9
Newell Brands,316,-73.0,10083.1,106.6,30000,Household Products,Atlanta,GA,no,no,no,yes,243.0,Ravichandra K. Saligram,https://www.newellbrands.com,NWL,5949.1
Public Service Enterprise Group,317,6.0,10076.0,1693.0,12992,Energy,Newark,NJ,no,no,no,yes,323.0,Ralph Izzo,https://www.pseg.com,PEG,22685.3
News Corp.,318,23.0,10074.0,155.0,28000,Media,New York,NY,no,no,no,yes,341.0,Robert J. Thomson,https://www.newscorp.com,NWSA,5279.7
Calpine,319,11.0,10072.0,770.0,2256,Energy,Houston,TX,no,no,no,yes,330.0,John B. Hill III,https://www.calpine.com,,
Auto-Owners Insurance,320,62.0,10007.4,1352.4,6141,Financials,Lansing,MI,no,no,no,yes,382.0,Jeffrey S. Tagsold,https://www.auto-owners.com,,
Mohawk Industries,321,-6.0,9970.7,744.2,41800,Household Products,Calhoun,GA,no,no,no,yes,315.0,Jeffrey S. Lorberbaum,https://www.mohawkind.com,MHK,5464.3
PVH,322,2.0,9909.0,417.3,30750,Apparel,New York,NY,no,no,no,yes,324.0,Stefan Larsson,https://www.pvh.com,PVH,2746.2
Campbell Soup,322,27.0,9909.0,211.0,19000,"Food, Beverages & Tobacco",Camden,NJ,no,no,no,yes,349.0,Mark A. Clouse,https://www.campbellsoupcompany.com,CPB,13928.5
NRG Energy,324,-33.0,9871.0,4438.0,4577,Energy,Princeton,NJ,no,no,no,yes,291.0,Mauricio Gutierrez,https://www.nrg.com,NRG,6829.8
Fifth Third Bancorp,325,59.0,9790.0,2512.0,19869,Financials,Cincinnati,OH,no,no,no,yes,384.0,Greg D. Carmichael,https://www.53.com,FITB,10560.3
Hertz Global Holdings,326,5.0,9779.0,-58.0,38000,Retailing,Estero,FL,no,no,no,no,331.0,Paul E. Stone,https://www.hertz.com,HTZ,878
Altice USA,327,0.0,9760.9,138.9,10700,Telecommunications,Long Island City,NY,no,no,no,yes,327.0,Dexter G. Goei,https://www.alticeusa.com,ATUS,14109.5
Newmont,328,91.0,9740.0,2805.0,16600,Energy,Greenwood Village,CO,no,no,no,yes,419.0,Thomas R. Palmer,https://www.newmont.com,NEM,51030
Cheniere Energy,329,54.0,9730.0,648.0,1530,Energy,Houston,TX,no,no,no,yes,383.0,Jack A. Fusco,https://www.cheniere.com,LNG,8511.8
Advance Auto Parts,330,-4.0,9709.0,486.9,53000,Retailing,Raleigh,NC,no,no,no,yes,326.0,Thomas R. Greco,https://www.advanceautoparts.com,AAP,6461.3
Lam Research,331,-44.0,9653.6,2191.4,10700,Technology,Fremont,CA,no,no,no,yes,287.0,Timothy M. Archer,https://www.lamresearch.com,LRCX,81078
Owens & Minor,332,-15.0,9650.0,-62.4,15400,Health Care,Mechanicsville,VA,no,no,no,no,317.0,Edward A. Pesicka,https://www.owens-minor.com,OMI,576.9
Equitable Holdings,333,0.0,9591.0,-1733.0,10100,Financials,New York,NY,yes,no,no,no, ,Mark Pearson,https://www.equitableholdings.com,EQH,6706.9
Conagra Brands,334,52.0,9538.4,678.3,18000,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,386.0,Sean M. Connolly,https://www.conagrabrands.com,CAG,14290.8
