city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Udhampur,32.9300,75.1300,India,IN,Jammu and Kashmīr,,35507,35507
Giddalūr,15.3784,78.9265,India,IN,Andhra Pradesh,,35150,35150
Yellandu,17.6000,80.3300,India,IN,Telangana,,35056,35056
Shrīrangapattana,12.4181,76.6947,India,IN,Karnātaka,,34135,34135
Angamāli,10.1960,76.3860,India,IN,Kerala,,33424,33424
Umaria,23.5245,80.8365,India,IN,Madhya Pradesh,,33114,33114
Fatehpur Sīkri,27.0911,77.6611,India,IN,Uttar Pradesh,,32905,32905
Mangūr,17.9373,80.8185,India,IN,Telangana,,32091,32091
Pedana,16.2667,81.1667,India,IN,Andhra Pradesh,,30721,30721
Uran,18.8900,72.9500,India,IN,Mahārāshtra,,30439,30439
Chimākurti,15.5819,79.8680,India,IN,Andhra Pradesh,,30279,30279
Devarkonda,16.7000,78.9333,India,IN,Telangana,,29731,29731
Bandipura,34.4225,74.6375,India,IN,Jammu and Kashmīr,,27482,27482
Silvassa,20.2666,73.0166,India,IN,Dādra and Nagar Haveli,,27359,27359
Pāmidi,14.9500,77.5833,India,IN,Andhra Pradesh,,26886,26886
Narasannapeta,18.4151,84.0447,India,IN,Andhra Pradesh,,26280,26280
Jaynagar-Majilpur,22.1772,88.4258,India,IN,West Bengal,,25922,25922
Khed Brahma,24.0299,73.0463,India,IN,Gujarāt,,25001,25001
Khajurāho,24.8500,79.9333,India,IN,Madhya Pradesh,,24481,24481
Koilkuntla,15.2333,78.3167,India,IN,Andhra Pradesh,,23859,23859
Diu,20.7197,70.9904,India,IN,Damān and Diu,,23779,23779
Kulgam,33.6400,75.0200,India,IN,Jammu and Kashmīr,,23584,23584
Gauripur,26.0800,89.9700,India,IN,Assam,,23477,23477
Abu,24.5925,72.7083,India,IN,Rājasthān,,22943,22943
Curchorem,15.2500,74.1000,India,IN,Goa,,22730,22730
Kavaratti,10.5626,72.6369,India,IN,Lakshadweep,admin,10688,10688
Panchkula,30.6915,76.8537,India,IN,Haryāna,minor,,
Kagaznāgār,19.3316,79.4661,India,IN,Telangana,minor,,
