title,url,summary,user_count,rating,rating_count,last_updated,category,offered_by,img_url,description,language,developer_info
Hola Free VPN Proxy Unblocker - Best VPN,https://chrome.google.com/webstore/detail/hola-free-vpn-proxy-unblo/gkojfkhlekighikafcpjkiklfbnlmeio,"Unblock websites blocked in your country, company or school with Hola VPN. Hola is free and easy to use!",8501600,4.9,350370,"November 29, 2020",Productivity,Offered by: hola.org,https://lh3.googleusercontent.com/YfkYdGkxZWV3ThjRa2DQiAcSl2j_BJMTPwc1dV7HdM25tgPQ9YxgHtuLVj670RgCd3VTnJjb=w128-h128-e365-rj-sc0x00ffffff,"Unblock websites blocked in your country, company, or school with Hola VPN. Hola is free and easy to use!

Hola is a free and ad-free VPN proxy service that provides a faster and a more open Internet.

Unblock websites blocked or censored in your country, company and school, and stream media with the free Hola Unblocker VPN proxy service. 

Unblock most websites with the free version. To unblock all websites with no time limits or to secure your traffic, subscribe to Premium.

Hola VPN is the world's fastest unblocker - using split-tunneling technology. For full encryption, privacy and security, subscribe to Premium.

This is not a peer to peer application. This extension does not link to nor encourages the download of any other products and is fully functional as is, without requiring any additional download.

If you have any technical issues please write to us at help@hola.org (don't post the question - we cannot answer all the posts).

Hola VPN requires the following permissions:
- Proxy: Let Hola extension proxy your traffic through a server in another
country to change your ip and unblock restricted sites.

- AllHosts/WebRequest/WebRequestBlocking: Let Hola extension check every web request and modify it. Hola VPN is the fastest unblocker because it uses split-tunneling technology and only proxy the minimum number of web requests needed to unblock a site.

- Tabs: Let Hola track your tabs and enable VPN only on specific tabs and show popup inside the page to let you enable, disable and fix connectivity problems.

- WebNavigation: Let Hola track your navigations request and enable VPN on a single site and only when it is needed. 

- Cookies: Let Hola access your cookies. Some sites cache your country inside cookies, and it is required to clear those cookies before you can access that site from another country.

- Storage: Let Hola save local configuration and cache data.

- ContextMenus: Let Hola add entries to context menu.

What types of information do we collect?
We collect the following types of data from you when you use the Services:
- Log Data: Log data may include the following information- browser type, web
pages you visit, time spent on those pages, access times and dates.
- Personal Information: Personal information is information that may be of a
private or sensitive nature, and which identifies or may identify you. The
Personal Information we may collect and retain includes your IP address, your
name and email address, screen name, payment and billing information or other
information we may ask from time to time as will be required for the on-boarding
process and services provisioning.
Registering through social network account: When you register or sign-in to the
- Services via your social network account (e.g., Facebook, Google+), we will
have access to basic information from your social network account

How do we use your information?
We use your information in order to provide you with the Service. This means
that we will use the information to set up your account, provide you with
support regarding the Service, communicate with you for updates, marketing
offers or concerns you may have and conduct statistical and analytical research
to improve the Service.

Information we share
We do not rent or sell any Personal Information. We may disclose Personal
Information to other trusted third-party service providers or partners for the
purposes of providing you with the Services, storage, and analytics. We may also
transfer or disclose Personal Information to our subsidiaries, affiliated companies.

Your Choices and Rights
We strive to give you ways to update your information quickly or to delete it.
To exercise such right, you may contact us at privacy@hola.org

Legal links:
Privacy: https://hola.org/legal/privacy
Terms of service: https://hola.org/legal/sla
DMCA: https://hola.org/legal/dmca

Subscribe to Premium: https://hola.org/premium?ref=webstore
Available on Android: https://play.google.com/store/apps/details?id=org.hola
Learn more - https://hola.org/faq
Support - http://hola.org/support
Hola Privacy Policy: http://hola.org/legal/privacy
Hola End User License: http://hola.org/legal/sla",,"[Contact the developer](mailto:hola@hola.org)[Privacy Policy](http://hola.org/legal/privacy)

3 Hamahshev Netanya, Israel 42507 Israel"
Nod - Reactions for Google Meet,https://chrome.google.com/webstore/detail/nod-reactions-for-google/oikgofeboedgfkaacpfepbfmgdalabej,Quick emoji reactions for muted team members,8482097,3.8,327,"October 16, 2020",Social & Communication,Offered by: nod.rocks,https://lh3.googleusercontent.com/JLFhIc9mAaRlHqxVD3V0O-a1HJ-9mErI-Ru_oZP6rYoYi2mcw2w-dj7coA65TKlKwT2n49ZZaw=w128-h128-e365-rj-sc0x00ffffff,"When running larger meetings in Google Meet, it can be difficult to gauge real-time feedback as you are speaking. 
Nod allows team members to send real-time reactions to presenters and speakers during meetings on Google Meet.

For more info: https://nod.rocks
For updates and inquiries: https://twitter.com/jamiecio

---

PRIVACY POLICY
https://nod.rocks/privacy

---",English,[Contact the developer](mailto:nod@homeshift.com)
Just Black,https://chrome.google.com/webstore/detail/just-black/aghfnjkcakhmadgdomlmlhhaocbkloab,Midnight monochrome,8344762,4.2,3253,"July 31, 2020",Themes,Offered by: The Chrome team,https://lh3.googleusercontent.com/lB1oQm14TxTY3mCXKkVZPBISLdhUI-Al0m8G7OCax2n4-qs-nH4hMI11yKeOOor2quFCCmaz1Lk=w128-h128-e365-rj-sc0x00ffffff,Just Black. A theme brought to you by The Chrome Team.,English (United States),[Contact the developer](mailto:first-party-chrome-themes@googlegroups.com)
Amazon Assistant for Chrome,https://chrome.google.com/webstore/detail/amazon-assistant-for-chro/pbjikboenpfhbbejgkoklgkhjpfogcam,Amazon's official browser extension. By installing you agree to the Conditions of Use at amazon.com/aa/TOU,7969515,3.7,3261,"September 30, 2020",Shopping,Offered by: https://amazon.com,https://lh3.googleusercontent.com/nwymmdMrwJiIuBrV3gKd16e2rLyB_sVcEatE5HxDT2_msyr1G3YM-F490ccX9Cj_hnzMajVI=w128-h128-e365-rj-sc0x00ffffff,"Amazon Assistant is Amazon's official product to help you discover products available on Amazon and price compare as you shop on online. Look for our low-price badge with 30-Day Price Tracker. By installing you agree to the Conditions of Use at amazon.com/aa/TOU.

* Click on the icon in your browser to find personalized product recommendations for you.

* Discover Amazon's products and entertainment while browsing across the web. Amazon Assistant will show you Amazon’s best offer, ratings, reviews and provide similar recommendations.

* Get your Amazon order updates in real-time. Assistant notifies you when your orders ship and deliver.

* Never miss out on an Amazon deal. See new deals every day.

* Save all your favorite products in one place. Your Lists keep track of products from Amazon and other websites in one convenient place.

We offer localized support in 12 locales, including US, Canada, Mexico, Brazil, France, Germany, Italy, UK, Spain, Japan, India and Australia.

Learn more at www.amazon.com/assistant.",,[Contact the developer](mailto:bit-dev@amazon.com)
ClassLink OneClick Extension,https://chrome.google.com/webstore/detail/classlink-oneclick-extens/jgfbgkjjlonelmpenhpfeeljjlcgnkpe,ClassLink OneClick Extension,7887847,2,389,"October 5, 2020",Productivity,Offered by: www.classlink.com,https://lh3.googleusercontent.com/7YyxF-MrLHUYTnyquVYX-lJvGaBPoSpRysa_IjsGzhW30bHiOmD5vEBI_yOHT2xyOvqvp0XLWQ=w128-h128-e365-rj-sc0x00ffffff,"ClassLink empowers students and teachers with instant access to their learning resources. ClassLink® LaunchPad® includes a library of over 6,000 single sign-on apps and instant links to file folders at school and on Google, Office 365, and Dropbox cloud drives. ClassLink Roster Server easily and securely delivers class rosters to any publisher using open technology standards. ClassLink Analytics gives decision makers the usage data they need.

Accessible from any computer, tablet or smartphone, ClassLink is ideal for 1to1 and Bring Your Own Device (BYOD) initiatives.

PLEASE NOTE… Your school or organization must have ClassLink for this extension to work. Please contact your technology department or email info@classlink.com.",English,[Contact the developer](mailto:helpdesk@classlink.com)[Privacy Policy](https://www.classlink.com/company/privacy)
AdGuard AdBlocker,https://chrome.google.com/webstore/detail/adguard-adblocker/bgnkhhnnamicmpeenaelnjfhikgbkllg,"Unmatched adblock extension against advertising and pop-ups. Blocks ads on Facebook, YouTube and all other websites.",7816696,4.7,50049,"November 27, 2020",Productivity,Offered by: adguard.com,https://lh3.googleusercontent.com/drNKxHkz1ooib4IDUeY1xm5wCvp_8anj18TVqHinu0RhuXSwy19OPEV0TXYJHmoJ8aP77weyDA=w128-h128-e365-rj-sc0x00ffffff,"AdGuard ad blocker effectively blocks all types of ads on all web pages, even on Facebook, YouTube and others!

## What AdGuard ad blocker does:

★ Blocks all ads: video ads (includes YouTube adblock), rich media advertising, unwanted pop-ups, banners and text ads (includes Facebook adblock);
★ Speeds up page loading and saves bandwidth, thanks to the missing ads and pop-up windows;
★ Protects your privacy by blocking common third-party tracking systems;
★ Blocks many spyware, adware, and dialer installers;
★ Protects you from malware and phishing.

## What are the advantages of AdGuard over Adblock or Adblock Plus?

★ AdGuard ad blocker is really fast and lightweight. It uses half as much memory as other popular solutions: Adblock, Adblock Plus, and even outperforms uBlock Adblocker in some tests;
★ AdGuard can handle most of the adblock circumvention scripts;
★ AdGuard is simply better looking and modern (in our opinion).

## How can AdGuard ad blocker protect your privacy?

Privacy protection is one of the main goals! Just enable the ""AdGuard Tracking Protection filter"" in AdGuard settings. It completely removes all forms of tracking from the Internet. AdGuard has one of the largest tracker filter lists containing more than 10,000 rules. It is even larger than the databases of Ghostery® and Disconnect.

## How to remove social media widgets with AdGuard?

Tired of all the «Like» buttons and similar widgets infesting all of your frequented web pages? Just enable AdGuard ""Social media filter"" and forget about them.

## How can AdGuard ad blocker protect you from online threats?

At the moment we’ve got more than 2,000,000 harmful websites on record. AdGuard can block domains known to spread malware, protecting your computer against viruses, Trojan horses, worms, spyware, and adware. AdGuard really lowers the risk of virus infections and prohibits access to harmful websites to prevent potential attacks.

## Crypto-jacking protection

We did comprehensive research on crypto-jacking and, as a result, AdGuard can reliably block most of the known crypto-jackers including CoinHive. You can also add some open source filters like NoCoin which will give you an additional layer of protection.

## Why does AdGuard require permissions?

* ""Access your data for all websites"" and ""Access browser tabs"": both permissions are necessary for AdGuard to apply all kinds of cosmetic processing to the pages' content. Naive ad blocking would simply block ad servers, and leave broken elements and first-party ads on the pages. AdGuard applies special cosmetic rules to make pages look clean and tidy.
* ""Access browser activity during navigation"": this permission is necessary to keep track of navigation events in order to apply rules when the time is right.

==============================

Release notes: 
https://github.com/AdguardTeam/AdguardBrowserExtension/releases

==============================

Free and Open Source:
https://github.com/AdguardTeam/AdguardBrowserExtension

==============================

Found a bug? Have a problem and need help? Visit our forum: https://forum.adguard.com/",,"[Contact the developer](mailto:support@adguard.com)[Privacy Policy](https://adguard.com/privacy.html)

Office 1, 3rd floor Panayides Building, Chrysanthou Mylona St. Lymassol 3030 Cyprus"
Google Keep Chrome Extension,https://chrome.google.com/webstore/detail/google-keep-chrome-extens/lpcaedmchfhocbbapmcbpinfpgnhiddi,Save to Google Keep in a single click!,7743848,4.2,7338,"December 8, 2020",Productivity,Offered by: google.com,https://lh3.googleusercontent.com/arG23HFTyO26h4H2TlMg9S7Ej-jD8MHjYPBQyjyQbvEfRDgtrPhaEKRPiqd7ynBb_dL2oNAZO6Q=w128-h128-e365-rj-sc0x00ffffff,"Found a webpage, image, or quote that you want to save for later? With the Google Keep Chrome Extension, easily save the things  you care about  to Keep and have them synced across all of the platforms that you use — including web, Android, iOS, and Wear. Take notes for additional detail and add labels to quickly categorize your note for later retrieval.

Features:
 • Save URLs, text, and images
 • Take notes on saved content
 • Add labels to your notes
 • Automatically saves to Google Keep

Try Google Keep on the web at https://keep.google.com, on your Android device at https://g.co/keep, and on your iOS device at https://itunes.apple.com/us/app/google-keep-your-thoughts/id1029207872.",,[Contact the developer](mailto:apps-help@google.com)[Privacy Policy](https://policies.google.com/privacy)
Zoom Scheduler,https://chrome.google.com/webstore/detail/zoom-scheduler/kgjfgplpablkjnlkjmjdecgdpfankdle,Schedule Zoom meetings directly from Google Calendar,7579147,4,817,"November 30, 2020",Productivity,Offered by: zoom.us,https://lh3.googleusercontent.com/0J5qgbHsnFd9Y8ynNjSvuccW3u8dGv_6luq3fdN_RYVdIRaydMXz-hVmXU8l3Fmo4ik9m3JJ=w128-h128-e365-rj-sc0x00ffffff,"Schedule Zoom cloud meetings directly from Google Calendar

Zoom, the cloud meeting company, unifies mobile collaboration, cloud video conferencing and simple online meetings into one easy-to-use platform. Our solution offers the best video, audio and screen-sharing experience across Windows PC, Mac, iOS, Android and H.323/SIP room systems

The Zoom Chrome Extension allows participants to schedule Zoom cloud meetings directly from Google Calendar. With the click of a button, you can start an instant meeting or schedule a future meeting. The meeting URL and information is sent via a Google Calendar  invitation so the attendee can join with a single-click.  

Zoom Chrome Extension allows you to:
•  Start an instant meeting
•  Schedule a meeting
•  Schedule a meeting for other

Do we do more? 

Zoom offers the following: 
•  Unparalleled video, voice and screen sharing quality
•  Free unlimited minutes for 1-to-1 meetings and 40 minutes for group meetings
•  Paid service is only $14.99/month with unlimited minutes and meetings
•  Video gallery view to see all 25 video streams at once
•  Full online meeting functionality, including desktop and mobile screen sharing
•  Annotations and share audio, mouse and keyboard controls
•  Free global teleconferencing
•  Interoperability between H.323/SIP room systems, desktop, tablet and mobile devices

To learn more about Zoom, please visit <a href=""https://zoom.us"">https://zoom.us</a>",,[Contact the developer](mailto:support@zoom.us)[Privacy Policy](https://zoom.us/privacy)
iCloud Bookmarks,https://chrome.google.com/webstore/detail/icloud-bookmarks/fkepacicchenbjecpbpbclokcabebhah,"Keep your Chrome bookmarks on Windows up to date with the Safari bookmarks on your iPhone, iPad, and Mac.",7158888,3.6,3818,"November 8, 2017",Productivity,Offered by: Apple Inc.,https://lh3.googleusercontent.com/WMcFjrM_ybRDU3wZuVlkEkj7j4JYqpsTaQOnhW9KHHTchGEOeChAuehc0XMbGBmufXoC0nqLIA=w128-h128-e365-rj-sc0x00ffffff,"iCloud stores your website bookmarks, so they are everywhere you go — on your iPhone, iPad, iPod touch, Mac, and PC. So when it comes to your devices, you can switch things up without mixing things up.

Note:
iCloud Bookmarks extension for Chrome is for Windows 7 and Windows 8. On Windows 8, the iCloud Bookmarks extension is compatible with the desktop mode of Chrome.

http://www.apple.com/legal/sla/docs/iCloudControlPanel.pdf",,[Contact the developer](mailto:support@apple.com)[Privacy Policy](https://www.apple.com/privacy)
迅雷下载支持,https://chrome.google.com/webstore/detail/%E8%BF%85%E9%9B%B7%E4%B8%8B%E8%BD%BD%E6%94%AF%E6%8C%81/ncennffkjdiamlpmcbajkmaiiiddgioo,迅雷下载支持,6800246,2.9,1248,"October 26, 2020",Productivity,Offered by: 深圳市迅雷网络技术有限公司,https://lh3.googleusercontent.com/v8mUNRLcbX2TUotQIxHWR6TiWNaQDiz9i2uATJa2fN0QYbT-WyLkCtyE5jugkQsF5ytGxUhC=w128-h128-e365-rj-sc0x00ffffff,"该扩展用于实现迅雷X接管Chrome浏览器的下载请求，方便的“多选下载”模式可以快速下载网页中的多个链接，并支持下载网页中的在线视频。

【注意】
1、非迅雷X官方客户端可能会无法使用！
2、如有问题及建议请加QQ群：578739634

【更新信息】
·2020-10-22更新至3.23：修正部分下载请求无法接管的问题
·2020-05-26更新至3.22：新增“多选下载”快捷键开关
·2020-01-06更新至3.20：鼠标焦点处于编辑框时，不触发多选下载快捷键。
·2019-11-28更新至3.19：默认下载接管更加可靠了，因此移除强力接管功能。并修正部分邮箱附件无法下载的问题。
·2019-11-19更新至3.18：继续修正部分站点Cookie传递错误的问题。
·2019-11-19更新至3.17：修正在视频元素上点右键进入“多选下载模式”后，无法退出该模式的问题
·2019-11-18更新至3.16：新增“多选下载”模式（快捷键Shift+D）。修正部分站点Cookie传递错误的问题。
·2019-11-08更新至3.15：修正先安装扩展，后安装迅雷X时，无法接管下载请求的问题。
·2019-10-22更新至3.14：实时同步迅雷X的不接管站点列表。
·2019-10-15更新至3.13：修正无法接管左键点击下载请求的问题。
·2019-10-12更新至3.12：优化“在线视频检测”功能的兼容性。
·2019-10-10更新至3.11：新增“在线视频检测”功能，可在工具栏菜单中关闭。
·2019-07-23更新至3.10：修正某些302跳转无法捕获下载的问题。修正某些页面引用页为空，导致无法取消接管的问题
·2019-05-17更新至3.8：优化默认接管实现方法，大幅提升未“开启强力接管”时的接管成功率
·2019-04-02更新至3.6：修正无法接管百度搜索结果列表中的下载请求的问题
·2019-03-27更新至3.5：恢复更新，兼容迅雷X、迅雷9，解决老版本的一些问题
·2014-08-08更新至3.1：采用Native Messaging API实现，支持最新版本Chrome浏览器，包括64位版本。支持按Ctrl键点击下载地址时不拉起迅雷。
·2014-05-22更新至2.12：在2.10版本基础上，解决弹出“true”提示的问题
·2014-05-16更新至2.11：临时更新到2.11，代码回退至2.9，解决弹出“true”提示的问题
·2014-05-16更新至2.10：地址栏右侧“迅雷”图标增加“监视动态链”选项（即“Chrome Downloads API”的支持开关）。解决可能栈溢出引起崩溃的问题
·2014-04-17更新至2.9：修正Chrome更新至34之后，地址栏右侧迅雷图标中菜单点击无效的问题。
·2014-04-02更新至2.8：扩展所包含dll加数字签名。
·2014-03-18更新至2.6：采用Chrome Downloads API实现下载请求监视，大幅提升监视准确性！
·2013-10-11更新至2.5：在Chrome工具栏增加迅雷扩展的入口，可设置“启用迅雷Chrome支持、本页面不关联迅雷、本网站不关联迅雷”并增加反馈建议的菜单项。
·2013-08-28更新至2.4：优化动态链接监视逻辑，只监听常用下载站点的动态链
·2013-06-25更新至2.1：支持动态链接的监视。支持从迅雷7客户端的监视设置中获取监视文件类型
·2013-02-04更新至1.11：修正右键使用迅雷下载时，Cookie参数格式不正确的问题
·2013-01-04更新至1.10：支持Cookie参数传递
（例如：使用Chrome浏览器拉起迅雷下载“迅雷快传”上的文件，将获得更快的下载速度）
·2012-09-19更新至1.9：支持最新版本Chrome",,[Contact the developer](mailto:xl_webbrowserstore@xunlei.com)
360 Internet Protection,https://chrome.google.com/webstore/detail/360-internet-protection/glcimepnljoholdmjchkloafkggfoijh,360 Internet Protection,6781441,4.5,5361,"November 20, 2020",Accessibility,Offered by: qihoosafe.blogspot.com,https://lh3.googleusercontent.com/qiwM1hRi1fp_srUg2p83RqK7bYEo1GycSmOWOFOjxpr0r8dm150K62E6nXYWkDwHBzpkBlcnEww=w128-h128-e365-rj-sc0x00ffffff,"This extension is web threat protection of 360 Total Security for Chrome. It's based on the cloud malicious URL database of 360 cloud security center. It can identify malicious URL in real-time and protect you from web threats. The capabilities of anti-fraud, anti-phishing and anti-malicious URL will be enabled once installed. Built-in Shopping Saver will automatically search better price and discounts when you shop online.Integrated privacy anti-tracking, disguise your online information, away from the risk of targeted advertising and privacy leakage, so that you have a safe online environment.

Note:
1. You need to install latest 360 Total Security to have the above functions.
2. Support Windows Version of 360 Total Security only.

Official Website: http://www.360totalsecurity.com/
",,[Contact the developer](mailto:support@360safe.com)
Adblocker for Chrome - NoAds,https://chrome.google.com/webstore/detail/adblocker-for-chrome-noad/alplpnakfeabeiebipdmaenpmbgknjce,"Block ads and pop-ups on YouTube, Facebook, Twitch, and your favorite websites.",6677191,4.8,18566,"May 8, 2020",Productivity,Offered by: filteringlist.com,https://lh3.googleusercontent.com/xboK30Q-eBfJBr5ipEcJ4A_QpET20mujleS4fvGf7DAFM-K20WqcNx0rurGbbxQAlfYCitNz7DbF-Mehla1M7Rd9=w128-h128-e365-rj-sc0x00ffffff,"Filterlists and every connection is secured through HTTPS. Starting with 3.63.3.21 old HTTP filterlists will be upgraded to HTTPS.

★ About Adblocker for Chrome - NoAds based on Adblock Plus and Adblock for Chrome. With extended filterlists and features. Default-filters are the perfect fit for performance and filter size.

----------------------------------

★ Features:

 + Adremoval on all websites.
 + Malware and Adware blocking.
 + Performance enhancement in browsing speed.
 + Removal of ads, banners and pre-rolls on Youtube.
 + Removal of ""Anti - Adblocker"" banners or detectors.
 + Integrated Popup Blocker.

----------------------------------

★ Version: 3.63.3.21

----------------------------------

Google displays this message on installation ""Read and change all your data on the websites that you visit"". This is a standard message, but Adblocker for Chrome - NoAds will never read or interact with your browsing experience. We just remove ads. For free.

----------------------------------

We use GPL Source Code. 
No Copyright or Trademark Infringement intended. 
This extension is also under Open Source GPLv3. 

----------------------------------

★ Privacy Policy:

We value your privacy. No personal data collection, just statistics.
FOR OUR EXTENSION
Data we collect includes no more than is crucial to provide full functionality of our extension. We do not collect anything for tracking purposes and take all necessary technical, administrative and physical measures to protect the information we get.

This extensions uses a third party analytic tool Google Analytics, that uses cookies, web beacons, or other similar information gathering technologies to collect standard internet log information and usage information. The information generated is used to compile statistical reports on user activity. We will never (and will not allow any third party to) use the statistical reports to track or to collect any personal information of visitors to, or users of, our Services.

If you do not agree with this practice please disable or uninstall our extension. Follow the official tutorial to uninstall an extension from chrome under https://support.google.com/chrome_webstore/answer/2664769?hl=en. Thank you.

The only data we process from you:

• UUID based on a random string. Not tied to a specific user!
• Installation Date
• Installation Time
• Extension Version

With this data we collect and create charts about how long our users have installed our extension, how often they update their filters and what filterlists they have subscribed to. We use this data to improve our service, filterlists and bugfixing abilities. All this data is not tied to a user and is anonymized if necessary.

WE DO NOT COLLECT ANY PERSONAL DATA FROM YOU.",English (United States),"[Privacy Policy](https://filteringlist.com/privacypolicy)

Pque Lefevre Panama, Panama 44562 Panama"
Bitmoji,https://chrome.google.com/webstore/detail/bitmoji/bfgdeiadkckfbkeigkoncpdieiiefpig,Use Bitmoji anywhere on web!,6467707,3.8,2011,"April 22, 2020",Social & Communication,Offered by: bitmoji.com,https://lh3.googleusercontent.com/JFVHatl9J_JlQmRCQHcF8lze4AxECVyWgSW3MOk7tKPnl94fpnQfbGbdL5vNlUkNU90BTu5iWzs=w128-h128-e365-rj-sc0x00ffffff,"- Directly insert Bitmojis into Gmail
- Click and drag to resize them
- Copy and paste them almost anywhere

If you don’t have a Bitmoji account, download the mobile app from bitmoji.com and create an avatar now!

Need help? Head to https://support.bitmoji.com/hc/en-us",English,[Contact the developer](mailto:bitmoji-support@snap.com)[Privacy Policy](https://www.snap.com/en-US/privacy/privacy-policy)
Google Drawings,https://chrome.google.com/webstore/detail/google-drawings/mkaakpdehdafacodkgkpghoibnmamcme,Create shapes and diagrams,6305672,4.3,3159,"September 25, 2015",Extensions,Offered by: drive.google.com,https://lh3.googleusercontent.com/1_vhyQscE-D8QF0x3HniTZF5ocuCx4Tr79PFBtqo7Ebi5Ets16tue1MU6UIeH6WRUZsTGUfn=w128-h128-e365-rj-sc0x00ffffff,"Add some color to your documents, presentations, and websites with easy to create charts and diagrams.       

Get it done together
Build charts, layout diagrams, create flow charts, and then easily add them to other documents or embed them on a website.

Care to comment?
Comment on a shape or text box to give context to your discussion. Send an email notification by adding someone to a comment.

Access anywhere, anytime
All your drawings are automatically saved and stored in Google Drive. Access them wherever you go, from any device.",,[Contact the developer](mailto:docs-extension-support@google.com)[Privacy Policy](https://policies.google.com/privacy)
TouchEn PC보안 확장,https://chrome.google.com/webstore/detail/touchen-pc%EB%B3%B4%EC%95%88-%ED%99%95%EC%9E%A5/dncepekefegjiljlfbihljgogephdhph,브라우저에서 라온시큐어의 PC보안 기능을 사용하기 위한 확장 프로그램입니다.,6206273,1.4,5190,"January 31, 2018",Developer Tools,Offered by: 라온시큐어,https://lh3.googleusercontent.com/7PDAMIwH6Uugo58mOIh9UZp7z-eOe41ex_N9mI7INjuQRccWK6YQm0HsrTWuqdggEmyl24wT=w128-h128-e365-rj-sc0x00ffffff,"인터넷 상에서 발생하는 개인정보보호를 안전하게 보호하고,  중요 금융거래 및 서비스의 안전한 사용을 제공하기 위한 확장 프로그램.
 
다음의 보안기능을 제공하기 위한 통합 확장 기능 제공 
 
- 중요 입력 정보 보호 : PC 키보드를 통해 입력하는 중요정보를 외부의 위협으로 부터 안전하게 보호하고 전송하는 보안 프로그램

- 온라인 방화벽 : 외부의 위협으로 부터 PC를 안전하게 보호하는 온라인 방화벽 기능 및 악성코드 탐지 및 치료를 진행하는 백신 프로그램

- 인증서 관리 : PC에 저장된 공인인증서를 모바일 기기로 원격이동하는 관리 프로그램

- 웹 컨텐츠 보호 : 웹 페이지에 대한 화면 캡쳐,복사,붙여넣기,인쇄,소스보기 등을 차
단하여 웹페이지의 컨텐츠를 보호하기 위한 프로그램",한국어,"[Contact the developer](mailto:t.raonsecure@gmail.com)[Privacy Policy](https://www.raonsecure.com/nx/nxkey2.php)

강남구 테헤란로 145 우신빌딩 12층 서울시 06132 대한민국"
"AVG SafePrice | Comparison, deals, coupons",https://chrome.google.com/webstore/detail/avg-safeprice-comparison/mbckjcfnjmoiinpgddefodcighgikkgn,"Find the best prices, deals and discount coupons while shopping online with the price comparison and coupon extension by AVG.",6172941,4.3,1638,"July 22, 2020",Shopping,Offered by: https://www.avg.com,https://lh3.googleusercontent.com/3WncXF5lAeOg3esELuq5apCHhS6TzW_2PrwqWqc0zrQifyzKqkKSYgAljfS8DH0Wl7rMHsb5XhU=w128-h128-e365-rj-sc0x00ffffff,"Smart shopping has never been easier

AVG SafePrice finds the lowest prices and biggest coupons for anything you’re searching for, so you can be confident you’re getting the best deals on the net. What’s more, we only scan trustworthy sites, so you have nothing to fear from scams or frauds. With AVG SafePrice, smarter shopping is only a few clicks away. 

• Finds coupons so you can save on what you’re shopping for
• Ensures that you’re buying from reputable dealers
• Safely and easily compares prices across multiple retailers
• Highlights the cheapest deals that’ll save you the most money
• Easy to customize for your needs
• Unobtrusive toolbar stays hidden when you’re not shopping
• Allows you to compare deals without visiting dozens of websites",,[Contact the developer](mailto:browser-extensions@avast.com)[Privacy Policy](https://www.avg.com/privacy)
Web Threat Shield,https://chrome.google.com/webstore/detail/web-threat-shield/kjeghcllfecehndceplomkocgfbklffd,Keeps you safe when browsing the web by identifying and blocking dangerous websites.,5982681,2.5,292,"November 9, 2020",Productivity,Offered by: Webroot,https://lh3.googleusercontent.com/1CocAQNGePSrM211cD1xkzBeYT6o7hiLAOyWPVSNYlYfTQ2R7b2Tl2QdYGkUrXyYMtKSL1U8=w128-h128-e365-rj-sc0x00ffffff,"The Internet can be a scary place. Wouldn’t it be great if you could tell which sites were dangerous before it was too late? Now you can with the Webroot® Web Threat Shield.

The Webroot Web Threat Shield offers top-of-the-line defense against cybercrime while browsing the internet. It warns about unsafe websites before you click, and automatically blocks bad ones trying to install viruses and malware on your computer. You’ll have peace-of-mind knowing personal information like passwords and credit card details are safe.

The Webroot Web Threat Shield also provides up-to-the-minute data about website reputations and real-time protection against phishing sites.

The Webroot Web Threat Shield is available as a feature of our award-winning internet security that protects PCs, Mac computers, and mobile devices. Copy and paste the link below into the address bar above to learn which type of security is right for you. [https://www.webroot.com/us/en/home/products/helpmechoose]

If you are already using a Webroot SecureAnywhere® Antivirus, Webroot SecureAnywhere® Internet Security Plus, or Webroot SecureAnywhere® Internet Security Complete, locate the keycode used to activate your subscription and click “GET” at the top of your screen. If you can’t find your keycode, copy and paste the link below in the address bar above and we’ll help you find it. [https://community.webroot.com/keycode-license-83/what-is-my-keycode-23098]

By installing the Webroot Web Threat Shield Extension, you agree to the Webroot SecureAnywhere Solution Agreement available at [https://www.webroot.com/us/en/legal/service-terms-and-conditions].",,[Contact the developer](mailto:customersupport@webroot.com)[Privacy Policy](https://www.webroot.com/us/en/legal/privacy)
